cow_code,iso3c,country_name,independence,colonial_history,global_south,year.x,workinjury_replacement_rate_temp_2020,workinjury_duration_temp_2020,workinjury_duration_perm_2020,unemployment_coverage,unemp_benefit_rate,unemp_benefit_duration,pension_replacement_rate_legal,pension_replacement_rate_min_effective,workinjury_cov_ilo,workinjury_cov_ilo_lf,pension_cov_ilo,pension_cov_ilo_lf,pratstws,pratmins,prtfulco,pcovratp,ucovratl,uratfuls,uratfulf,acovratl,azrr26si,azrr26fa,uzrr26si,uzrr26fa,pnerswsi,pnerswco,unemp_cov_ilo,slave_trade_all,year.y,e_autoc,v2x_polyarchy,v2x_libdem,v2x_delibdem,v2x_corr,e_gdppc,e_area,slave_trade_norm,africa,slave_trade_norm_log,workinjury_cov_ilo_lf_imp,workinjury_cov_ilo_lf_i
541,MOZ,Mozambique,1975,Portugal,1,2020,70,unlimited,unlimited,0,NA,NA,NA,52.25,11.5,14.6,75.9,96.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625862,1985,0.7555555555555555,0.081,0.048,0.051444444444444445,0.197,0.7141111111111111,790679.445,0.7915496020008463,1,-0.23376273327234823,22.422005733454206,14.6
565,NAM,Namibia,1990,Germany,1,2020,75,12 months,unlimited,0,NA,NA,NA,NA,28.9,48.8,28.9,48.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,1985,NA,0.0918888888888889,0.07577777777777778,0.07922222222222222,0.41555555555555557,5.873888888888889,825615,2.3134269605082271e-4,1,-8.37161041410241,48.97526172930607,48.8
436,NER,Niger,1960,France,1,2020,63.8,unlimited,unlimited,0,NA,NA,26.64,60,4.4,6,4.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19912,1985,0.6666666666666666,0.10144444444444445,0.0931111111111111,0.05277777777777778,0.43022222222222223,1.2443333333333333,1188522.525,0.0167535739383652,1,-4.089143674016447,25.090051794048144,6
475,NGA,Nigeria,1960,UK,1,2020,100,24 months,unlimited,0,NA,NA,NA,NA,8,13.6,8,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2021859,1985,0.47777777777777775,0.24988888888888888,0.14666666666666667,0.12111111111111111,0.8642222222222222,2.3667777777777776,914291.337,2.211394681518239,1,0.7936233940939872,33.34731954828637,13.6
517,RWA,Rwanda,1962,Belgium,1,2020,75,6 months,unlimited,0,NA,NA,30,50,18.4,30.6,18.4,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1985,0.7,0.20544444444444443,0.14755555555555555,0.10466666666666666,0.5324444444444445,1.2158888888888888,25305.624,0,1,-10,27.01642671265048,30.6
403,STP,São Tomé & Príncipe,1975,Portugal,1,2020,98,24 months,unlimited,0,NA,NA,37.5,NA,20,37.1,20,37.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1985,NA,0.16933333333333334,0.162,0.18633333333333332,0.18,2.2614444444444444,964,0,1,-10,35.4255417943477,37.1
433,SEN,Senegal,1960,France,1,2020,63.9,unlimited,unlimited,0,NA,NA,NA,NA,17.5,34.6,17.5,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376926,1985,0.3,0.48133333333333334,0.36177777777777775,0.3974444444444445,0.394,2.2996666666666665,197172.573,1.9116553294661323,1,0.647969531363537,44.022285068549145,34.6
591,SYC,Seychelles,1976,UK,0,2020,58,6 months,unlimited,NA,NA,NA,NA,NA,58.9,97,62.4,88.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,1985,NA,0.20500000000000002,0.17055555555555554,0.11466666666666667,0.472,11.109777777777778,457,0,1,-10,76.20923313020235,97
451,SLE,Sierra Leone,1961,UK,1,2020,60,96 months,56 months,0,NA,NA,30,50,5.7,10.5,5.7,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69607,1985,0.7,0.187,0.08777777777777777,0.1401111111111111,0.889,1.5716666666666668,801590,0.0868361631257875,1,-2.4437321182071656,30.182744973743915,10.5
520,SOM,Somalia,1960,UK,1,2020,67.5,6 months,unlimited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32277,1985,0.7,0.14422222222222222,0.04177777777777778,0.023,0.64,1.6305555555555555,640483.589,0.050394733845397555,1,-2.9878685965584744,25.80881199668465,25.80881199668465
560,ZAF,South Africa,1910,UK,1,2020,75,24 months,unlimited,0.119,0.296172035,2,NA,NA,28.8,50.5,28.8,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,2031,1985,0.3,0.17744444444444443,0.10977777777777778,0.1431111111111111,0.431,8.920666666666667,2053300.746,9.89139074710101e-4,1,-6.918675614680725,66.54590996017785,50.5
626,SSD,South Sudan,2011,UK,1,2020,0,0 months,unlimited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0
625,SDN,Sudan,1956,UK,1,2020,0,0 months,unlimited,0,0,0,40,NA,40,82.4,40,82.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863962,1985,0.4111111111111111,0.24322222222222223,0.10855555555555556,0.10477777777777778,0.5067777777777778,1.9853333333333332,2501656.194,0.3453560093797605,1,-1.0631794827595136,30.81558578265082,82.4
510,TZA,Tanzania,1961,UK,1,2020,70,24 months,unlimited,0,NA,NA,NA,NA,11.4,14,11.4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,534826,1985,0.6,0.26033333333333336,0.24722222222222223,0.1951111111111111,0.2637777777777778,1.3045555555555555,947555.66,0.5644270015758229,1,-0.5719442189433265,31.055978379755913,14
461,TGO,Togo,1960,France,1,2020,66.7,unlimited,unlimited,0,NA,NA,20,60,55.6,96.2,55.6,96.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,289634,1985,0.7,0.1511111111111111,0.06355555555555556,0.037,0.658,1.5797777777777777,57485.448,5.0383881499888465,1,1.6170862194225208,26.115986015474835,96.2
616,TUN,Tunisia,1956,France,1,2020,66.7,6 months,unlimited,NA,NA,NA,40,8.09,28.8,61.4,29.8,63.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1985,0.7333333333333334,0.17922222222222223,0.14200000000000002,0.17533333333333334,0.6104444444444445,5.181111111111111,155771.466,0,1,-10,49.38659316020665,61.4
500,UGA,Uganda,1962,UK,1,2020,67,12 months,60 months,0,NA,NA,NA,NA,12.8,18.3,12.8,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4554,1985,0.39999999999999997,0.1821111111111111,0.1131111111111111,0.12377777777777778,0.736,0.9011111111111111,243702.806,0.01868669497387732,1,-3.9799435070800757,26.22517770090755,18.3
551,ZMB,Zambia,1964,UK,1,2020,50,24 months,unlimited,0,NA,NA,NA,NA,114.2,95.6,15.4,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27958,1985,0.9,0.19133333333333333,0.14422222222222222,0.14822222222222223,0.212,1.7564444444444445,756428.205,0.03696054670515624,1,-3.297904240511876,31.41708244686804,95.6
552,ZWE,Zimbabwe,1965,UK,1,2020,59.2,18 months,unlimited,0,NA,NA,NA,NA,21.8,33.2,21.8,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1089,1985,0.3111111111111111,0.2962222222222222,0.22011111111111112,0.24455555555555555,0.477,3.230111111111111,391930.531,0.002778553630974975,1,-5.885824763298145,42.521700368526496,33.2
